poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
12;Šidák Michal Ing. Mgr.;50;ODS;ODS;ředitel gymnázia a SŠ,zastupitel obce Velké Březno;Velké Březno
13;Hapštáková Pavlína Bc.;49;ODS;ODS;environmentální specialistka;Duchcov
14;Skřivánek Jiří Bc. MPA, MBE;31;ODS;KDU-ČSL;účetní a ekonomický poradce;Děčín
15;Pinka Petr Ing.;34;ODS;ODS;živnostník;Litoměřice
16;Pillár Petr Bc.;57;ODS;ODS;starosta obce Lišnice;Lišnice
17;Brčák Tomáš Ing. Bc.;36;ODS;BEZPP;spolumajitel farmářského obchodu U Páti;Děčín
18;Machová Jana;40;ODS;ODS;obchodní referent;Varnsdorf
19;Böhmová Eva Mgr.;56;ODS;ODS;vedoucí odboru školství,kultury a sportu MÚ Bílina;Hrobčice
20;Kastnerová Kateřina;55;ODS;ODS;odborný referent ochrany veřejného zdraví;Ústí nad Labem
21;Moravcová Alexandra Ing.;44;ODS;ODS;podnikatelka v oboru marketingu;Louny
22;Voltr Michal Mgr.;46;ODS;ODS;vedoucí obchodní společnosti;Kadaň
23;Zemánková Týřová Helena Mgr.;46;ODS;ODS;ředitelka společnosti;Litvínov
24;Rulíšková Zdeňka Ing.;70;ODS;ODS;bývalá starostka města Štětí;Štětí
25;Pražanová Jana Ing.;35;ODS;ODS;zaměstnankyně farmaceutické firmy;Ústí nad Labem
26;Kadlec Rostislav Mgr.;41;ODS;KDU-ČSL;místostarosta města Krupka;Krupka
27;Horyna Tomáš Bc.;38;ODS;ODS;manažer;Česká Kamenice
28;Ťažký Jan Ing.;40;ODS;ODS;OSVČ, projektant;Jirkov
29;Tetřev Pavel;59;ODS;ODS;ředitel Sportarény Teplice, p.o.;Teplice
30;Tošovský Pavel Ing.;58;ODS;ODS;náměstek primátora města Ústí nad Labem;Ústí nad Labem
31;Šindelářová Hana Bc.;45;ODS;ODS;senior teamleader klientského centra Vodafone;Most
32;Štěpanovský Antonín;26;ODS;KDU-ČSL;zemědělec;Terezín
33;Srba Vojtěch;43;ODS;ODS;sportovní ředitel, OSVČ;Lovosice
34;Hase Roland Ing.;50;ODS;ODS;vedoucí logistiky;Jiříkov
35;Šošško Petr;64;ODS;ODS;revizní technik;Děčín
36;Reindl Radek Mgr. Bc.;49;ODS;ODS;starosta města Podbořany;Podbořany
37;Petráček Jindřich;63;ODS;ODS;řidič trolejbusu;Chomutov
38;Balej Jiří;57;ODS;ODS;obchodní zástupce - média;Krupka
39;Fibich Georgij Bc.;35;ODS;ODS;profesionální sportovec - mistr světa, Evropy a ČR;Ústí nad Labem
40;Hellmich Petr Ing. MBA;49;ODS;ODS;jednatel;Litvínov
41;Špringlová Zdeňka Terezie Bc.;43;ODS;KDU-ČSL;účetní;Litoměřice
42;Pospíšilová Romana MUDr.;37;ODS;ODS;dětská lékařka;Přestavlky
43;Železný Jan DiS.;38;ODS;ODS;technický dozor staveb - vodohospodář;Krásná Lípa
44;Rambousková Tereza Mgr.;28;ODS;BEZPP;účetní;Děčín
45;Kalitová Pavlína Mgr.;47;ODS;ODS;personální manažerka;Žatec
46;Švejda Petr;53;ODS;ODS;podnikatel;Klášterec nad Ohří
47;Prchalová Veronika Mgr.;51;ODS;ODS;ředitelka základní školy;Duchcov
48;Laštůvka Jiří MUDr.;52;ODS;ODS;lékař, internista;Ústí nad Labem
49;Hofmann Václav PhDr.;66;ODS;ODS;ředitel divadla;Most
